taxID	Virus	D
11622	Lassa virus STRAIN JOSIAH	0.6251606
1891729	Mesocricetus auratus polyomavirus 1	0.8267867
11887	Rous sarcoma virus STRAIN H-19	0.6496142
381518	Influenza A virus STRAIN A / Wilson-Smith / 1933 (H1N1)	0.62516060
382835	Influenza A virus STRAIN A / WSN / 1933 (H1N1)	0.62516060
701177	Escherichia coli O55:H7 STRAIN CB9615	1.0000000
2169991	Junin virus	0.6251606
45219	Guanarito virus	0.6251606
11628	Machupo virus	0.6251606
2169992	Sabia virus	0.6251606
645098	Measles virus STRAIN ICHINOSE-B95a	0.6251606
928302	Hepatitis B virus GENOTYPE C / SUBTYPE AYR / ISOLATE HUMAN / JAPAN / OKAMOTO	0.64961425
489488	Hepatitis B virus STRAIN AYW / AUSTRALIA / AUSTKW / 1991	0.64961425
381513	Influenza A virus STRAIN A / PANAMA / 2007 / 1999 (H3N2)	0.62516060
381512	Influenza A virus STRAIN A / NEW CALEDONIA / 20 / 1999 (H1N1)	0.62516060
216597	Salmonella enterica SUBSPECIES ENTERICA SEROVAR TYPHIMURIUM STRAIN SL1344	1.00000000
480116	Hepatitis B virus SUBTYPE ADW2 / STAIN RUTTER / 1979	0.64961425
11284	Vesicular stomatitis Indiana virus STRAIN Orsay	0.62516060
90371	Salmonella enterica SUBSPECIES ENTERICA SEROVAR TYPHIMURIUM	1.00000000
1836	Saccharopolyspora erythraea	1.0000000
727	Haemophilus influenzae	1.0000000
28344	Porcine reproductive and respiratory syndrome virus (PRRSV)	0.4204230
441772	Clostridium botulinum F STRAIN LANGELAND	1.0000000
243365	Chromobacterium violaceum STRAIN ATCC 12472	1.0000000
158879	Staphylococcus aureus SUBSPECIES AUREUS / STRAIN N315	1.00000000
490133	Hepatitis B virus GENOTYPE D SUBTYPE AYW ISOLATE FRANCE / TIOLLAIS / 1979	0.64961425
392809	Influenza A virus STRAIN A / VICTORIA / 3 / 1975 (H3N2)	0.62516060
356411	Hepatitis C virus ISOLATE JFH-1	0.62516060
480024	Influenza A virus STRAIN A / WYOMING / 03 / 2003 (H3N2)	0.62516060
408871	Dengue virus 4 STRAIN Dominica / 814669 / 1981	0.62516060
650132	Aichi virus A846/88 (AIVA8)	0.48709373
10886	Reovirus TYPE 3/STRAIN DEARING	0.6251606
121791	Nipah virus	0.6251606
54315	Bovine viral diarrhea virus 2	0.6251606
383543	Influenza A virus STRAIN A / HICKOX / 1940 (H1N1)	0.62516060
128952	Zaire Ebolavirus STRAIN MAYINGA	0.62516060
11553	Influenza C virus STRAIN C / ANN ARBOR / 1 / 50	0.6251606
11096	Classical swine fever virus	0.6251606
11208	Parainfluenza virus 5 (Simian virus 5 ) STRAIN W3	0.6251606
10915	Porcine rotavirus SEROTYPE 5 / STRAIN OSU	0.6251606
11589	Rift valley fever virus STRAIN ZH-548 M12	0.6251606
