V1,V2
-19.96910248,-733.0582701
-22.84781032,-728.0285157
-23.83444691,-730.3127154
-10.66094466,-743.3052345
-18.06514273,-730.3304333
-14.23147577,-743.0728893
-17.37714934,-730.835765
-18.34108624,-734.0836599
-23.1579019,-733.5905493
-22.11263127,-730.9431425
-15.19555537,-745.7672112
-20.30499578,-734.3946257
-8.720216836,-728.4698853
-19.10139256,-730.3581613
-19.78317152,-732.3046391
-11.26669585,-744.4346637
-17.24517962,-740.1539484
-17.62624167,-732.562087
-19.41628058,-733.5768062
-6.760373394,-740.6885819
-22.51130841,-734.0590835
-18.74762401,-736.6549499
-11.19194805,-742.9170915
-15.78742423,-751.1377471
-18.24388489,-752.2895151
-10.7942908,-745.0175324
-21.42766609,-731.5793111
-22.07334589,-734.4713577
-22.49470847,-734.2293875
-19.77101066,-728.9115061
-7.737227839,-741.7917098
-19.19862472,-732.2717137
-14.07571087,-744.3671644
-11.94257603,-747.5907592
-9.982182309,-744.7456986
-9.968802977,-745.2397958
-9.986382738,-743.9606358
-9.445410419,-742.9709286
-12.41182103,-742.413527
-18.81480767,-736.2925376
-15.64170109,-754.1888929
-12.75252934,-744.6809642
-4.420442934,-727.6995358
-12.70657332,-744.0210221
-9.126396144,-743.3122584
-8.813563099,-747.8916376
-14.15564898,-754.3348659
-18.51048265,-734.2061761
-21.8669686,-731.3968936
-24.41397572,-731.6494964
-17.85823965,-730.4993009
-19.62328359,-728.3776248
-11.30932201,-744.1043802
-22.76286063,-730.6860186
-18.94315858,-728.5645171
-19.31078396,-732.4612139
-23.93284988,-733.0950905
-7.828802914,-741.0581853
-18.08710229,-754.5418413
-13.9656922,-743.9757112
-26.84820969,-747.0292307
-27.82807781,-749.0515459
-12.21250581,-745.1508411
-19.25164631,-754.6288392
-10.03432988,-745.322773
-21.03199547,-728.3906236
-11.03592366,-746.5422613
-22.10983666,-733.2115818
-9.614240869,-743.960201
-16.45216189,-754.8322982
-27.07670678,-747.8423918
-13.4355547,-740.4317295
-19.33331808,-730.3423232
-24.75214407,-752.9080766
-10.64563935,-743.5797074
-8.398381322,-725.9861933
-28.03436643,-752.0999537
-23.81820496,-753.1062861
-26.05310967,-748.706473
-25.25097445,-752.1888395
-8.674718009,-742.2732193
-8.683775169,-744.7041327
-18.9837987,-735.1169072
-19.94670326,-735.8492233
-18.71093771,-732.9717685
-20.6511704,-731.4756823
-19.30934965,-732.5481644
-21.57694329,-732.3558503
-9.906013521,-743.6743474
-20.27945698,-729.2515312
-9.388245102,-743.5637527
-13.99300201,-741.6482462
-12.41564864,-741.9097412
-14.53629482,-744.5917167
-19.46773541,-733.8854616
-22.21060096,-731.5539045
-15.75783261,-754.9912371
-11.77542443,-744.5471976
-14.49988971,-745.9791083
-17.05161271,-735.2203319
-23.78227805,-730.3126561
-22.57924311,-730.1307225
-15.65831796,-756.6375927
-22.93492628,-734.8854285
-11.3402498,-744.4798227
-19.56741842,-736.7597396
-21.4219155,-733.5020857
-17.50164329,-731.1238639
-21.63177392,-735.1460908
-15.04669932,-744.5722153
-8.553930422,-739.7243448
-12.8240446,-740.2047978
-12.5405396,-745.2907282
-20.32349174,-732.1060049
-22.43096179,-728.2835635
-7.956909801,-746.5836238
-19.42987086,-731.3386663
-19.57642706,-734.0533776
-17.15656443,-746.8251141
-17.97634536,-733.1144011
-24.50375282,-742.1022146
-19.96242312,-730.681783
-6.04227649,-744.1797016
-13.12905611,-747.3579673
-8.616810167,-742.9775787
-22.65144261,-732.9768868
-10.13362982,-745.1055757
-16.76452884,-751.579202
-18.27266632,-756.6733681
-9.8390844,-727.6318103
-5.819056137,-744.545247
-17.49949143,-730.7828837
-18.57626307,-734.9837884
-20.55942864,-736.5046839
-18.31504462,-732.3494459
-17.65178875,-729.9816121
-6.923793508,-742.3007441
-22.01795238,-732.3090487
-23.65872812,-733.060616
-10.04723029,-728.6756541
-20.41457237,-728.7527746
-22.23101583,-729.6848075
-11.70735677,-741.6087622
-18.8880101,-739.6320575
-17.73394252,-735.0706299
-17.51685065,-728.4087586
-21.1607233,-734.5763863
-21.33521521,-728.9225965
-8.679144628,-739.2466307
-12.28864858,-743.523497
-8.65679135,-740.647674
-18.61973801,-732.0009419
-23.1470108,-733.2386367
-6.028194847,-729.3622336
-19.0325624,-753.6624642
-21.57987725,-729.9534945
-6.473541918,-745.5074692
-18.52079574,-757.2121101
-5.720477218,-729.0557219
-17.45486925,-732.7199953
-21.4972646,-751.2976986
-21.77712729,-737.5715857
-11.45059357,-741.4943446
-8.655840328,-744.8704128
-19.58677824,-732.0135879
-9.216754905,-744.4716172
-9.440437475,-741.6536295
-9.566020451,-747.3502085
