,taxID,Virus,exact_match,loose_match,drugs_exact,drugs_loose,Host_parsed,Human_host
620,36375,Human immunodeficiency virus 1 ISOLATE KB-1,0,1,NA,DB01721;DB01732;DB01824;DB01887;DB01891;DB02009;DB02033;DB02629;DB02683;DB02704;DB02768;DB02785;DB02972;DB03076;DB03141;DB03803;DB03908;DB04042;DB04190;DB04255;DB04547;DB05398;DB05871;DB06414;DB06874;DB07018;DB07035;DB07327;DB07332;DB07337;DB07343;DB07451;DB07578;DB07806;DB07885;DB07961;DB08034;DB08212;DB08281;DB08282;DB08284;DB08372;DB08414;DB08428;DB08457;DB08598;DB08600;DB08639;DB01887;DB02804;DB04353;DB02086;DB02994;DB03118;DB03676;DB03963;DB07575;DB08027;DB08231;DB02102;DB02702;DB02729;DB04609;DB05328;DB06414;DB06581;DB06910;DB07184;DB07332;DB07472;DB07473;DB07781;DB07797;DB07820;DB07826;DB07864;DB07867;DB07868;DB07869;DB07871;DB07884;DB07892;DB07910;DB08154;DB08188;DB08211;DB08286;DB08372;DB08379;DB08444;DB08446;DB08459;DB08460;DB08494;DB08502;DB08528;DB08598;DB08634;DB08665;DB08680;DB08681;DB08682;DB13119;DB02411;DB02668;DB03768;DB04454;DB04886;DB05228;DB05644;DB07679;DB07910;DB08622;DB02780;DB02904;DB03320;DB03817;DB04639;DB11854;DB06039;DB07327;DB07505;DB08041;DB08428;DB08662;DB07910;DB08115;DB08231;DB00109;DB00224;DB00503;DB00701;DB00932;DB01072;DB01232;DB01264;DB01319;DB01601;DB04887;DB00238;DB00300;DB00495;DB00625;DB00649;DB00705;DB00709;DB00879;DB00900;DB00943;DB01048;DB07935;DB08864;DB09299;DB11365;DB11799;DB12301;DB12855;DB14126;DB03141;DB04623;DB06817;DB08930;DB09101;DB11799;DB08231,human|vertebrates,1
621,31678,Human immunodeficiency virus 1 ISOLATE WMJ1,0,1,NA,DB01721;DB01732;DB01824;DB01887;DB01891;DB02009;DB02033;DB02629;DB02683;DB02704;DB02768;DB02785;DB02972;DB03076;DB03141;DB03803;DB03908;DB04042;DB04190;DB04255;DB04547;DB05398;DB05871;DB06414;DB06874;DB07018;DB07035;DB07327;DB07332;DB07337;DB07343;DB07451;DB07578;DB07806;DB07885;DB07961;DB08034;DB08212;DB08281;DB08282;DB08284;DB08372;DB08414;DB08428;DB08457;DB08598;DB08600;DB08639;DB01887;DB02804;DB04353;DB02086;DB02994;DB03118;DB03676;DB03963;DB07575;DB08027;DB08231;DB02102;DB02702;DB02729;DB04609;DB05328;DB06414;DB06581;DB06910;DB07184;DB07332;DB07472;DB07473;DB07781;DB07797;DB07820;DB07826;DB07864;DB07867;DB07868;DB07869;DB07871;DB07884;DB07892;DB07910;DB08154;DB08188;DB08211;DB08286;DB08372;DB08379;DB08444;DB08446;DB08459;DB08460;DB08494;DB08502;DB08528;DB08598;DB08634;DB08665;DB08680;DB08681;DB08682;DB13119;DB02411;DB02668;DB03768;DB04454;DB04886;DB05228;DB05644;DB07679;DB07910;DB08622;DB02780;DB02904;DB03320;DB03817;DB04639;DB11854;DB06039;DB07327;DB07505;DB08041;DB08428;DB08662;DB07910;DB08115;DB08231;DB00109;DB00224;DB00503;DB00701;DB00932;DB01072;DB01232;DB01264;DB01319;DB01601;DB04887;DB00238;DB00300;DB00495;DB00625;DB00649;DB00705;DB00709;DB00879;DB00900;DB00943;DB01048;DB07935;DB08864;DB09299;DB11365;DB11799;DB12301;DB12855;DB14126;DB03141;DB04623;DB06817;DB08930;DB09101;DB11799;DB08231,human|vertebrates,1
623,63330,Hendra virus,0,0,NA,NA,human|vertebrates,1
625,130666,Vaccinia virus STRAIN Wyeth,0,1,NA,DB01752;DB01960;DB01978;DB03164;DB03358;DB03493;DB04103;DB04314;DB02264;DB03959;DB04786,human|vertebrates,1
626,72149,Aichivirus A,0,0,NA,NA,human|vertebrates,1
627,370129,Influenza A virus STRAIN A / WSN / 1933 TS61 (H1N1),0,1,NA,DB07726;DB00478;DB00915;DB00558;DB06614;DB00811;DB06408;DB00198;DB07726;DB13997;DB12466;DB02529;DB02600;DB03257;DB03321;DB03420;DB03503;DB03721;DB03991;DB04227;DB06614;DB02268;DB02829;DB04565;DB08570;DB08571,human|vertebrates,1
628,284213,Influenza A virus STRAIN A / Qa / THAILAND / 57 / 2004 (H5N1),0,1,NA,DB07726;DB00478;DB00915;DB00558;DB06614;DB00811;DB06408;DB00198;DB07726;DB13997;DB12466;DB02529;DB02600;DB03257;DB03321;DB03420;DB03503;DB03721;DB03991;DB04227;DB06614;DB02268;DB02829;DB04565;DB08570;DB08571,human|vertebrates,1
629,385599,Influenza A virus STRAIN A / UDORN / 1972 (H3N2),0,1,NA,DB07726;DB00478;DB00915;DB00558;DB06614;DB00811;DB06408;DB00198;DB07726;DB13997;DB12466;DB02529;DB02600;DB03257;DB03321;DB03420;DB03503;DB03721;DB03991;DB04227;DB06614;DB02268;DB02829;DB04565;DB08570;DB08571,human|vertebrates,1
630,251307,Influenza A virus STRAIN A / CHICKEN / NETHERLANDS / 1 / 03 (H7N7),0,1,NA,DB07726;DB00478;DB00915;DB00558;DB06614;DB00811;DB06408;DB00198;DB07726;DB13997;DB12466;DB02529;DB02600;DB03257;DB03321;DB03420;DB03503;DB03721;DB03991;DB04227;DB06614;DB02268;DB02829;DB04565;DB08570;DB08571,human|vertebrates,1
633,442553,Influenza A virus STRAIN A / MIGRATORY DUCK / HONG KONG / MPS180 / 2003 (H4N6),0,1,NA,DB07726;DB00478;DB00915;DB00558;DB06614;DB00811;DB06408;DB00198;DB07726;DB13997;DB12466;DB02529;DB02600;DB03257;DB03321;DB03420;DB03503;DB03721;DB03991;DB04227;DB06614;DB02268;DB02829;DB04565;DB08570;DB08571,human|vertebrates,1
634,103929,Rabies virus STRAIN PASTEUR VACCIN,1,1,DB11603,DB11603,human|vertebrates,1
636,1980490,Seoul orthohantavirus,0,0,NA,NA,human|vertebrates,1
638,261268,Influenza A virus STRAIN A / VIETNAM / 1196 / 2004 (H5N1),0,1,NA,DB07726;DB00478;DB00915;DB00558;DB06614;DB00811;DB06408;DB00198;DB07726;DB13997;DB12466;DB02529;DB02600;DB03257;DB03321;DB03420;DB03503;DB03721;DB03991;DB04227;DB06614;DB02268;DB02829;DB04565;DB08570;DB08571,human|vertebrates,1
642,129951,Human mastadenovirus C,0,1,NA,DB02643;DB04272,human|vertebrates,1
643,335341,Influenza A virus STRAIN A / NEW YORK / 392 / 2004 (H3N2),0,1,NA,DB07726;DB00478;DB00915;DB00558;DB06614;DB00811;DB06408;DB00198;DB07726;DB13997;DB12466;DB02529;DB02600;DB03257;DB03321;DB03420;DB03503;DB03721;DB03991;DB04227;DB06614;DB02268;DB02829;DB04565;DB08570;DB08571,human|vertebrates,1
645,386032,Reston ebolavirus STRAIN Reston (1989),0,0,NA,NA,human|vertebrates,1
647,351266,Influenza A virus STRAIN A / HONG KONG / 43 / 1975 (H3N2),0,1,NA,DB07726;DB00478;DB00915;DB00558;DB06614;DB00811;DB06408;DB00198;DB07726;DB13997;DB12466;DB02529;DB02600;DB03257;DB03321;DB03420;DB03503;DB03721;DB03991;DB04227;DB06614;DB02268;DB02829;DB04565;DB08570;DB08571,human|vertebrates,1
650,353437,Influenza A virus STRAIN A / CANTERBURY / 02 / 2005 (H3N2),0,1,NA,DB07726;DB00478;DB00915;DB00558;DB06614;DB00811;DB06408;DB00198;DB07726;DB13997;DB12466;DB02529;DB02600;DB03257;DB03321;DB03420;DB03503;DB03721;DB03991;DB04227;DB06614;DB02268;DB02829;DB04565;DB08570;DB08571,human|vertebrates,1
653,11171,Mumps virus STRAIN MIYAHARA VACCINE,0,0,NA,NA,human|vertebrates,1
655,352515,Influenza A virus STRAIN A / MALLARD / NETHERLANDS / 12 / 2000 (H7N3),0,1,NA,DB07726;DB00478;DB00915;DB00558;DB06614;DB00811;DB06408;DB00198;DB07726;DB13997;DB12466;DB02529;DB02600;DB03257;DB03321;DB03420;DB03503;DB03721;DB03991;DB04227;DB06614;DB02268;DB02829;DB04565;DB08570;DB08571,human|vertebrates,1
657,10313,Human herpesvirus 2 STRAIN 333,0,1,NA,DB09299;DB14126,human|vertebrates,1
658,335361,Influenza A virus STRAIN A / NEW YORK / 238 / 2005 (H3N2),0,1,NA,DB07726;DB00478;DB00915;DB00558;DB06614;DB00811;DB06408;DB00198;DB07726;DB13997;DB12466;DB02529;DB02600;DB03257;DB03321;DB03420;DB03503;DB03721;DB03991;DB04227;DB06614;DB02268;DB02829;DB04565;DB08570;DB08571,human|vertebrates,1
659,383596,Influenza A virus STRAIN A / BEIJING / 39 / 1975 (H3N2),0,1,NA,DB07726;DB00478;DB00915;DB00558;DB06614;DB00811;DB06408;DB00198;DB07726;DB13997;DB12466;DB02529;DB02600;DB03257;DB03321;DB03420;DB03503;DB03721;DB03991;DB04227;DB06614;DB02268;DB02829;DB04565;DB08570;DB08571,human|vertebrates,1
661,70149,Measles virus STRAIN EDMONSTON-ZAGREB,0,1,NA,DB03309,human|vertebrates,1
664,384493,Influenza A virus STRAIN A / SEAL / MASS / 1 / 1980 (H7N7),0,1,NA,DB07726;DB00478;DB00915;DB00558;DB06614;DB00811;DB06408;DB00198;DB07726;DB13997;DB12466;DB02529;DB02600;DB03257;DB03321;DB03420;DB03503;DB03721;DB03991;DB04227;DB06614;DB02268;DB02829;DB04565;DB08570;DB08571,human|vertebrates,1
666,266827,Influenza A virus STRAIN A / THAILAND /1 / KAN-1 / 2004 (H5N1),0,1,NA,DB07726;DB00478;DB00915;DB00558;DB06614;DB00811;DB06408;DB00198;DB07726;DB13997;DB12466;DB02529;DB02600;DB03257;DB03321;DB03420;DB03503;DB03721;DB03991;DB04227;DB06614;DB02268;DB02829;DB04565;DB08570;DB08571,human|vertebrates,1
668,402524,Influenza A virus STRAIN A / CHICKEN / ROSTOCK / 45 / 1934 (H7N1),0,1,NA,DB07726;DB00478;DB00915;DB00558;DB06614;DB00811;DB06408;DB00198;DB07726;DB13997;DB12466;DB02529;DB02600;DB03257;DB03321;DB03420;DB03503;DB03721;DB03991;DB04227;DB06614;DB02268;DB02829;DB04565;DB08570;DB08571,human|vertebrates,1
669,437606,Influenza A virus STRAIN A / lvPR8 / 34 (H1N1),0,1,NA,DB07726;DB00478;DB00915;DB00558;DB06614;DB00811;DB06408;DB00198;DB07726;DB13997;DB12466;DB02529;DB02600;DB03257;DB03321;DB03420;DB03503;DB03721;DB03991;DB04227;DB06614;DB02268;DB02829;DB04565;DB08570;DB08571,human|vertebrates,1
671,382855,Influenza A virus STRAIN A / SWINE / WISCONSIN / 1 / 1967 (H1N1),0,1,NA,DB07726;DB00478;DB00915;DB00558;DB06614;DB00811;DB06408;DB00198;DB07726;DB13997;DB12466;DB02529;DB02600;DB03257;DB03321;DB03420;DB03503;DB03721;DB03991;DB04227;DB06614;DB02268;DB02829;DB04565;DB08570;DB08571,human|vertebrates,1
673,12814,Respiratory syncytial virus,0,0,NA,NA,human|vertebrates,1
674,130309,Human adenovirus F,0,0,NA,NA,human|vertebrates,1
675,1313215,Aichi virus 1,0,0,NA,NA,human|vertebrates,1
676,31604,Small ruminant morbillivirus,0,0,NA,NA,human|vertebrates,1
677,103922,Human enterovirus 71 STRAIN 7423 / MS / 87,0,0,NA,NA,human|vertebrates,1
679,158611,Influenza A virus STRAIN A / PARIS / 908 97 (H3N2),0,1,NA,DB07726;DB00478;DB00915;DB00558;DB06614;DB00811;DB06408;DB00198;DB07726;DB13997;DB12466;DB02529;DB02600;DB03257;DB03321;DB03420;DB03503;DB03721;DB03991;DB04227;DB06614;DB02268;DB02829;DB04565;DB08570;DB08571,human|vertebrates,1
681,795813,Influenza A virus STRAIN A / KOL / 2086 / 2009 (H1N1),0,1,NA,DB07726;DB00478;DB00915;DB00558;DB06614;DB00811;DB06408;DB00198;DB07726;DB13997;DB12466;DB02529;DB02600;DB03257;DB03321;DB03420;DB03503;DB03721;DB03991;DB04227;DB06614;DB02268;DB02829;DB04565;DB08570;DB08571,human|vertebrates,1
682,946522,Herpes simplex virus TYPE 1 / STRAIN RH2,0,1,NA,DB00194;DB00249;DB00577;DB00299;DB00426;DB00529;DB00577;DB00787;DB01004;DB13896;DB00299;DB00787;DB01004;DB01643;DB02324;DB02495;DB02500;DB02765;DB02921;DB03000;DB03280;DB03312;DB03804;DB04139;DB04485;DB03419;DB13421,human|vertebrates,1
683,997563,Influenza A virus STRAIN A / REASSORTANT / IGYRP2 (H3N2),0,1,NA,DB07726;DB00478;DB00915;DB00558;DB06614;DB00811;DB06408;DB00198;DB07726;DB13997;DB12466;DB02529;DB02600;DB03257;DB03321;DB03420;DB03503;DB03721;DB03991;DB04227;DB06614;DB02268;DB02829;DB04565;DB08570;DB08571,human|vertebrates,1
686,10524,Human adenovirus 41,0,0,NA,NA,human|vertebrates,1
693,298339,Pan troglodytes foamy virus,0,0,NA,NA,human|vertebrates,1
695,416571,Influenza A virus STRAIN A / CHICKEN / GUANGDONG / 1 / 2001 (H5N1),0,1,NA,DB07726;DB00478;DB00915;DB00558;DB06614;DB00811;DB06408;DB00198;DB07726;DB13997;DB12466;DB02529;DB02600;DB03257;DB03321;DB03420;DB03503;DB03721;DB03991;DB04227;DB06614;DB02268;DB02829;DB04565;DB08570;DB08571,human|vertebrates,1
696,489468,Hepatitis B virus GENOTYPE C SUBTYPE AD ISOLATE JAPAN / S-179 / 1988,0,1,NA,DB05020;DB05276;DB09299;DB14126;DB00300;DB00718;DB13868;DB00709;DB01265,human|vertebrates,1
697,652674,Hepatitis E virus ISOLATE HETIAN,0,0,NA,NA,human|vertebrates,1
699,46922,Human adenovirus  17,0,1,NA,DB03721;DB03721,human|vertebrates,1
700,10528,Human adenovirus 18,0,0,NA,NA,human|vertebrates,1
701,28278,Human adenovirus  19,1,1,DB03721,DB03721,human|vertebrates,1
702,46925,Human adenovirus  23,0,1,NA,DB03721;DB03721,human|vertebrates,1
703,46926,Human adenovirus  24,0,1,NA,DB03721;DB03721,human|vertebrates,1
704,46930,Human adenovirus  28,0,1,NA,DB03721;DB03721,human|vertebrates,1
705,46932,Human adenovirus  30,0,1,NA,DB03721;DB03721,human|vertebrates,1
706,46935,Human adenovirus  39,0,1,NA,DB03721;DB03721,human|vertebrates,1
707,46938,Human adenovirus  43,0,1,NA,DB03721;DB03721,human|vertebrates,1
708,46942,Human adenovirus  47,0,1,NA,DB03721;DB03721,human|vertebrates,1
709,52275,Human adenovirus  37,1,1,DB03721,DB03721,human|vertebrates,1
710,130310,Human mastadenovirus D,0,1,NA,DB03721;DB03721,human|vertebrates,1
711,245072,Human adenovirus  51,0,1,NA,DB03721;DB03721,human|vertebrates,1
712,714978,Human adenovirus  55,0,0,NA,NA,human|vertebrates,1
713,980087,Human adenovirus  58,0,1,NA,DB03721;DB03721,human|vertebrates,1
714,11711,Simian immunodeficiency virus ISOLATE MAC239,0,1,NA,DB02325;DB03740;DB04473;DB04191;DB07722,human|vertebrates,1
715,28280,Human adenovirus 4,0,0,NA,NA,human|vertebrates,1
719,578843,Rotavirus A ISOLATE RVA / HUMAN / BELGIUM / B4106 / 2000 / G3P11 [14],0,0,NA,NA,human|vertebrates,1
84,11065,Dengue virus 2 STRAIN NEW GUINEA C,0,1,NA,DB00811;DB01752;DB04473;DB04473,human|invertebrates|vertebrates,1
149,11082,West Nile virus,0,0,NA,NA,human|invertebrates|vertebrates,1
271,408871,Dengue virus 4 STRAIN Dominica / 814669 / 1981,0,1,NA,DB00811;DB01752;DB04473;DB04473,human|invertebrates|vertebrates,1
282,11589,Rift valley fever virus STRAIN ZH-548 M12,0,0,NA,NA,human|invertebrates|vertebrates,1
295,31635,Dengue virus 2 STRAIN 16681-PDK53,0,1,NA,DB00811;DB01752;DB04473;DB04473,human|invertebrates|vertebrates,1
301,796210,La Crosse virus ISOLATE L78,0,0,NA,NA,human|invertebrates|vertebrates,1
347,1205899,Phlebovirus JS2010-014,0,0,NA,NA,human|invertebrates|vertebrates,1
352,31634,Dengue virus 2 STRAIN 16681,0,1,NA,DB00811;DB01752;DB04473;DB04473,human|invertebrates|vertebrates,1
358,992212,SFTS virus HB29,0,0,NA,NA,human|invertebrates|vertebrates,1
383,11060,Dengue virus 2,0,1,NA,DB00811;DB01752;DB04473;DB04473,human|invertebrates|vertebrates,1
384,172148,Alkhumra hemorrhagic fever virus,0,0,NA,NA,human|invertebrates|vertebrates,1
385,11078,Kunjin virus STRAIN MRM61C,0,0,NA,NA,human|invertebrates|vertebrates,1
386,11084,Tick-borne encephalitis virus,0,0,NA,NA,human|invertebrates|vertebrates,1
387,11072,Japanese encephalitis virus,0,0,NA,NA,human|invertebrates|vertebrates,1
388,11053,Dengue virus 1,0,1,NA,DB00811;DB01752;DB04473;DB04473,human|invertebrates|vertebrates,1
440,11034,Sindbis virus,1,1,DB03316,DB03316,human|invertebrates|vertebrates,1
469,37124,Chikungunya virus,0,0,NA,NA,human|invertebrates|vertebrates,1
470,652961,Crimean-Congo hemorrhagic fever virus STRAIN IbAr10200,0,0,NA,NA,human|invertebrates|vertebrates,1
477,11590,Toscana virus,0,0,NA,NA,human|invertebrates|vertebrates,1
491,2316109,isolate ZIKV/Human/Cambodia/FSS13025/2010 (ZIKVK),0,0,NA,NA,human|invertebrates|vertebrates,1
494,64320,strain Mr 766 (zikv),0,0,NA,NA,human|invertebrates|vertebrates,1
498,487099,strain S23 (Uuk),0,0,NA,NA,human|invertebrates|vertebrates,1
534,11273,Chandipura virus STRAIN I653514,0,0,NA,NA,human|invertebrates|vertebrates,1
536,11059,Dengue virus 1 STRAIN WESTERN PACIFIC,0,1,NA,DB00811;DB01752;DB04473;DB04473,human|invertebrates|vertebrates,1
564,2043570,Zika virus (isolate ZIKV/Human/French Polynesia/10087PF/2013),0,0,NA,NA,human|invertebrates|vertebrates,1
615,11075,Japanese encephalitis virus STRAIN JAOARS982,0,0,NA,NA,human|invertebrates|vertebrates,1
660,35304,Bunyamwera virus,0,0,NA,NA,human|invertebrates|vertebrates,1
663,11033,Semliki forest virus,0,0,NA,NA,human|invertebrates|vertebrates,1
684,1980519,Crimean-Congo hemorrhagic fever orthonairovirus,0,0,NA,NA,human|invertebrates|vertebrates,1
717,408686,Dengue virus 4 STRAIN PHILIPPINES / H241 / 1956,0,1,NA,DB00811;DB01752;DB04473;DB04473,human|invertebrates|vertebrates,1
718,408870,Dengue virus 3 STRAIN PHILIPPINES / H87 / 1956,1,1,DB04473,DB04473,human|invertebrates|vertebrates,1
298,28292,Sandfly fever Sicilian virus,0,0,NA,NA,human|invertebrates,1
40,10360,Human herpesvirus 5 (Human cytomegalovirus) STRAIN AD169,1,1,DB00369;DB00529;DB01973;DB03963;DB07436;DB06234;DB06234,DB00369;DB00529;DB01973;DB03963;DB07436;DB06234;DB06234,human,1
43,333760,Human papillomavirus TYPE 16 (HPV 16),0,0,NA,NA,human,1
87,10370,Human herpesvirus 6 STRAIN UGANDA-1102,0,0,NA,NA,human,1
114,10583,Human papillomavirus TYPE 1a (HPV 1a),0,0,NA,NA,human,1
117,10585,Human papillomavirus TYPE 31 (HPV 31),0,0,NA,NA,human,1
119,11720,Human immunodeficiency virus 2 (HIV2) ISOLATE ROD,1,1,DB02428;DB04490;DB07581;DB07634;DB08231;DB08274;DB08286;DB08421;DB08474;DB08663;DB08664;DB08686,DB02428;DB04490;DB07581;DB07634;DB08231;DB08274;DB08286;DB08421;DB08474;DB08663;DB08664;DB08686,human,1
127,10598,Human papillomavirus TYPE 58 (HPV 58),0,0,NA,NA,human,1
144,10335,Human herpesvirus 3,0,1,NA,DB00194;DB00426;DB00787;DB13896;DB04438,human,1
145,341980,Human herpesvirus 3 STRAIN OKA VACCINE,0,1,NA,DB00194;DB00426;DB00787;DB13896;DB04438,human,1
162,10359,Human herpesvirus 5 (Human cytomegalovirus),0,1,NA,DB00369;DB00529;DB01973;DB03963;DB07436;DB06234;DB06234;DB12070;DB12070;DB12070;DB06759;DB06759,human,1
195,10632,JC polyomavirus,0,0,NA,NA,human,1
197,10614,Human papillomavirus TYPE 3 (HPV 3),0,0,NA,NA,human,1
222,11043,Rubella virus STRAIN M33,0,0,NA,NA,human,1
226,11259,Human respiratory syncytial virus A2,0,1,NA,DB00110;DB05226,human,1
245,2169992,Sabia virus,0,0,NA,NA,human,1
289,10363,Human herpesvirus 5 (Human cytomegalovirus) STRAIN TOWNE,1,1,DB06759;DB06759,DB06759;DB06759,human,1
291,295027,Human herpesvirus 5 (Human cytomegalovirus) STRAIN MERLIN,1,1,DB12070;DB12070;DB12070,DB12070;DB12070;DB12070,human,1
307,11045,Rubella virus STRAIN THERIEN,0,0,NA,NA,human,1
308,11044,Rubella virus STRAIN RA27 / 3 VACCINE,0,0,NA,NA,human,1
319,11717,Human immunodeficiency virus 2 (HIV2) ISOLATE GHANA-1,0,1,NA,DB02428;DB04490;DB07581;DB07634;DB08231;DB08274;DB08286;DB08421;DB08474;DB08663;DB08664;DB08686,human,1
353,1173018,Phlebovirus WCH/97/HN/China/2011,0,0,NA,NA,human,1
355,10369,Human herpesvirus 6 STRAIN GS,0,0,NA,NA,human,1
359,211787,Human papillomavirus TYPE 92 (HPV92),0,0,NA,NA,human,1
360,10617,Human papillomavirus TYPE 4 (HPV4),0,0,NA,NA,human,1
364,247269,Human papillomavirus TYPE 96 (HPV96),0,0,NA,NA,human,1
375,10586,Human papillomavirus TYPE 33 (HPV 33),0,0,NA,NA,human,1
397,10587,Human papillomavirus TYPE 35 (HPV35),0,0,NA,NA,human,1
400,10602,Human papillomavirus TYPE ME180,0,0,NA,NA,human,1
402,333762,Human papillomavirus TYPE 26 (HPV26),0,0,NA,NA,human,1
403,10595,Human papillomavirus TYPE 51 (HPV51),0,0,NA,NA,human,1
428,333763,Human papillomavirus TYPE 32 (HPV 32),0,0,NA,NA,human,1
453,493803,Merkel cell polyomavirus,0,0,NA,NA,human,1
459,11709,Human immunodeficiency virus 2 (HIV2),0,1,NA,DB02428;DB04490;DB07581;DB07634;DB08231;DB08274;DB08286;DB08421;DB08474;DB08663;DB08664;DB08686,human,1
460,132475,Yaba-like disease virus,0,0,NA,NA,human,1
463,311339,Human herpesvirus 5 STRAIN TOLEDO,0,1,NA,DB00369;DB00529;DB01973;DB03963;DB07436;DB06234;DB06234;DB12070;DB12070;DB12070;DB06759;DB06759,human,1
497,12131,Human rhinovirus 14 (hrv14),1,1,DB03203;DB05102;DB08017;DB08509;DB08540;DB08543;DB08719;DB08720;DB08721;DB08722;DB08723;DB08724;DB08725;DB08726;DB08727;DB08728,DB03203;DB05102;DB08017;DB08509;DB08540;DB08543;DB08719;DB08720;DB08721;DB08722;DB08723;DB08724;DB08725;DB08726;DB08727;DB08728,human,1
508,587200,Variola virus ISOLATE HUMAN / INDIA / Ind3 / 1967,1,1,DB12020,DB12020,human,1
532,11250,Human orthopneumovirus,0,1,NA,DB00110;DB05226,human,1
553,277944,Human coronavirus NL63,0,0,NA,NA,human,1
574,11716,Human immunodeficiency virus 2 (HIV2) ISOLATE D205,0,1,NA,DB02428;DB04490;DB07581;DB07634;DB08231;DB08274;DB08286;DB08421;DB08474;DB08663;DB08664;DB08686,human,1
577,11714,Human immunodeficiency virus 2 (HIV2) ISOLATE BEN,0,1,NA,DB02428;DB04490;DB07581;DB07634;DB08231;DB08274;DB08286;DB08421;DB08474;DB08663;DB08664;DB08686,human,1
635,410078,Human respiratory syncytial virus STRAIN S-2,0,1,NA,DB00110;DB05226,human,1
680,337041,Alphapapillomavirus 9,0,0,NA,NA,human,1
