,taxID,Virus,exact_match,loose_match,drugs_exact,drugs_loose,Host_parsed,Human_host
6,11679,Human immunodeficiency virus 1 (HIV1) CLONE 12,0,1,NA,DB01721;DB01732;DB01824;DB01887;DB01891;DB02009;DB02033;DB02629;DB02683;DB02704;DB02768;DB02785;DB02972;DB03076;DB03141;DB03803;DB03908;DB04042;DB04190;DB04255;DB04547;DB05398;DB05871;DB06414;DB06874;DB07018;DB07035;DB07327;DB07332;DB07337;DB07343;DB07451;DB07578;DB07806;DB07885;DB07961;DB08034;DB08212;DB08281;DB08282;DB08284;DB08372;DB08414;DB08428;DB08457;DB08598;DB08600;DB08639;DB01887;DB02804;DB04353;DB02086;DB02994;DB03118;DB03676;DB03963;DB07575;DB08027;DB08231;DB02102;DB02702;DB02729;DB04609;DB05328;DB06414;DB06581;DB06910;DB07184;DB07332;DB07472;DB07473;DB07781;DB07797;DB07820;DB07826;DB07864;DB07867;DB07868;DB07869;DB07871;DB07884;DB07892;DB07910;DB08154;DB08188;DB08211;DB08286;DB08372;DB08379;DB08444;DB08446;DB08459;DB08460;DB08494;DB08502;DB08528;DB08598;DB08634;DB08665;DB08680;DB08681;DB08682;DB13119;DB02411;DB02668;DB03768;DB04454;DB04886;DB05228;DB05644;DB07679;DB07910;DB08622;DB02780;DB02904;DB03320;DB03817;DB04639;DB11854;DB06039;DB07327;DB07505;DB08041;DB08428;DB08662;DB07910;DB08115;DB08231;DB00109;DB00224;DB00503;DB00701;DB00932;DB01072;DB01232;DB01264;DB01319;DB01601;DB04887;DB00238;DB00300;DB00495;DB00625;DB00649;DB00705;DB00709;DB00879;DB00900;DB00943;DB01048;DB07935;DB08864;DB09299;DB11365;DB11799;DB12301;DB12855;DB14126;DB03141;DB04623;DB06817;DB08930;DB09101;DB11799;DB08231,human|vertebrates,1
13,11685,Human immunodeficiency virus 1 (HIV1) ISOLATE ARV2 / SF2,1,1,DB01721;DB01732;DB01824;DB01887;DB01891;DB02009;DB02033;DB02629;DB02683;DB02704;DB02768;DB02785;DB02972;DB03076;DB03141;DB03803;DB03908;DB04042;DB04190;DB04255;DB04547;DB05398;DB05871;DB06414;DB06874;DB07018;DB07035;DB07327;DB07332;DB07337;DB07343;DB07451;DB07578;DB07806;DB07885;DB07961;DB08034;DB08212;DB08281;DB08282;DB08284;DB08372;DB08414;DB08428;DB08457;DB08598;DB08600;DB08639;DB01887;DB02804;DB04353;DB02086;DB02994;DB03118;DB03676;DB03963;DB07575;DB08027;DB08231;DB02102;DB02702;DB02729;DB04609;DB05328;DB06414;DB06581;DB06910;DB07184;DB07332;DB07472;DB07473;DB07781;DB07797;DB07820;DB07826;DB07864;DB07867;DB07868;DB07869;DB07871;DB07884;DB07892;DB07910;DB08154;DB08188;DB08211;DB08286;DB08372;DB08379;DB08444;DB08446;DB08459;DB08460;DB08494;DB08502;DB08528;DB08598;DB08634;DB08665;DB08680;DB08681;DB08682;DB13119;DB02411;DB02668;DB03768;DB04454;DB04886;DB05228;DB05644;DB07679;DB07910;DB08622;DB02780;DB02904;DB03320;DB03817;DB04639;DB11854;DB06039;DB07327;DB07505;DB08041;DB08428;DB08662;DB07910;DB08115;DB08231,DB01721;DB01732;DB01824;DB01887;DB01891;DB02009;DB02033;DB02629;DB02683;DB02704;DB02768;DB02785;DB02972;DB03076;DB03141;DB03803;DB03908;DB04042;DB04190;DB04255;DB04547;DB05398;DB05871;DB06414;DB06874;DB07018;DB07035;DB07327;DB07332;DB07337;DB07343;DB07451;DB07578;DB07806;DB07885;DB07961;DB08034;DB08212;DB08281;DB08282;DB08284;DB08372;DB08414;DB08428;DB08457;DB08598;DB08600;DB08639;DB01887;DB02804;DB04353;DB02086;DB02994;DB03118;DB03676;DB03963;DB07575;DB08027;DB08231;DB02102;DB02702;DB02729;DB04609;DB05328;DB06414;DB06581;DB06910;DB07184;DB07332;DB07472;DB07473;DB07781;DB07797;DB07820;DB07826;DB07864;DB07867;DB07868;DB07869;DB07871;DB07884;DB07892;DB07910;DB08154;DB08188;DB08211;DB08286;DB08372;DB08379;DB08444;DB08446;DB08459;DB08460;DB08494;DB08502;DB08528;DB08598;DB08634;DB08665;DB08680;DB08681;DB08682;DB13119;DB02411;DB02668;DB03768;DB04454;DB04886;DB05228;DB05644;DB07679;DB07910;DB08622;DB02780;DB02904;DB03320;DB03817;DB04639;DB11854;DB06039;DB07327;DB07505;DB08041;DB08428;DB08662;DB07910;DB08115;DB08231,human|vertebrates,1
14,28285,Human adenovirus 5,0,1,NA,DB02643;DB04272,human|vertebrates,1
17,10407,Hepatitis B virus,1,1,DB05020;DB05276;DB09299;DB14126,DB05020;DB05276;DB09299;DB14126,human|vertebrates,1
20,11676,Human immunodeficiency virus 1 (HIV1),1,1,DB00109;DB00224;DB00503;DB00701;DB00932;DB01072;DB01232;DB01264;DB01319;DB01601;DB04887;DB00238;DB00300;DB00495;DB00625;DB00649;DB00705;DB00709;DB00879;DB00900;DB00943;DB01048;DB07935;DB08864;DB09299;DB11365;DB11799;DB12301;DB12855;DB14126;DB03141;DB04623;DB06817;DB08930;DB09101;DB11799;DB08231,DB00109;DB00224;DB00503;DB00701;DB00932;DB01072;DB01232;DB01264;DB01319;DB01601;DB04887;DB00238;DB00300;DB00495;DB00625;DB00649;DB00705;DB00709;DB00879;DB00900;DB00943;DB01048;DB07935;DB08864;DB09299;DB11365;DB11799;DB12301;DB12855;DB14126;DB03141;DB04623;DB06817;DB08930;DB09101;DB11799;DB08231,human|vertebrates,1
21,11707,Human immunodeficiency virus 1 (HIV1) ISOLATE HXB3,0,1,NA,DB01721;DB01732;DB01824;DB01887;DB01891;DB02009;DB02033;DB02629;DB02683;DB02704;DB02768;DB02785;DB02972;DB03076;DB03141;DB03803;DB03908;DB04042;DB04190;DB04255;DB04547;DB05398;DB05871;DB06414;DB06874;DB07018;DB07035;DB07327;DB07332;DB07337;DB07343;DB07451;DB07578;DB07806;DB07885;DB07961;DB08034;DB08212;DB08281;DB08282;DB08284;DB08372;DB08414;DB08428;DB08457;DB08598;DB08600;DB08639;DB01887;DB02804;DB04353;DB02086;DB02994;DB03118;DB03676;DB03963;DB07575;DB08027;DB08231;DB02102;DB02702;DB02729;DB04609;DB05328;DB06414;DB06581;DB06910;DB07184;DB07332;DB07472;DB07473;DB07781;DB07797;DB07820;DB07826;DB07864;DB07867;DB07868;DB07869;DB07871;DB07884;DB07892;DB07910;DB08154;DB08188;DB08211;DB08286;DB08372;DB08379;DB08444;DB08446;DB08459;DB08460;DB08494;DB08502;DB08528;DB08598;DB08634;DB08665;DB08680;DB08681;DB08682;DB13119;DB02411;DB02668;DB03768;DB04454;DB04886;DB05228;DB05644;DB07679;DB07910;DB08622;DB02780;DB02904;DB03320;DB03817;DB04639;DB11854;DB06039;DB07327;DB07505;DB08041;DB08428;DB08662;DB07910;DB08115;DB08231;DB00109;DB00224;DB00503;DB00701;DB00932;DB01072;DB01232;DB01264;DB01319;DB01601;DB04887;DB00238;DB00300;DB00495;DB00625;DB00649;DB00705;DB00709;DB00879;DB00900;DB00943;DB01048;DB07935;DB08864;DB09299;DB11365;DB11799;DB12301;DB12855;DB14126;DB03141;DB04623;DB06817;DB08930;DB09101;DB11799;DB08231,human|vertebrates,1
23,10254,Vaccinia virus STRAIN WR,1,1,DB01752;DB01960;DB01978;DB03164;DB03358;DB03493;DB04103;DB04314;DB02264;DB03959;DB04786,DB01752;DB01960;DB01978;DB03164;DB03358;DB03493;DB04103;DB04314;DB02264;DB03959;DB04786,human|vertebrates,1
24,10249,Vaccinia virus STRAIN COPENHAGEN,0,1,NA,DB01752;DB01960;DB01978;DB03164;DB03358;DB03493;DB04103;DB04314;DB02264;DB03959;DB04786,human|vertebrates,1
31,82830,Human herpesvirus 4 (Epstein-Barr virus) STRAIN AG876,0,1,NA,DB00194;DB00632;DB00632;DB03976,human|vertebrates,1
44,10377,Human herpesvirus 4 (Epstein-Barr virus) STRAIN B95-8,1,1,DB00194;DB00632;DB00632;DB03976,DB00194;DB00632;DB00632;DB03976,human|vertebrates,1
47,333761,Human papillomavirus TYPE 18 (HPV 18),0,0,NA,NA,human|vertebrates,1
55,28282,Human adenovirus 12,0,0,NA,NA,human|vertebrates,1
56,11678,Human immunodeficiency virus 1 (HIV1) ISOLATE BH10,0,1,NA,DB01721;DB01732;DB01824;DB01887;DB01891;DB02009;DB02033;DB02629;DB02683;DB02704;DB02768;DB02785;DB02972;DB03076;DB03141;DB03803;DB03908;DB04042;DB04190;DB04255;DB04547;DB05398;DB05871;DB06414;DB06874;DB07018;DB07035;DB07327;DB07332;DB07337;DB07343;DB07451;DB07578;DB07806;DB07885;DB07961;DB08034;DB08212;DB08281;DB08282;DB08284;DB08372;DB08414;DB08428;DB08457;DB08598;DB08600;DB08639;DB01887;DB02804;DB04353;DB02086;DB02994;DB03118;DB03676;DB03963;DB07575;DB08027;DB08231;DB02102;DB02702;DB02729;DB04609;DB05328;DB06414;DB06581;DB06910;DB07184;DB07332;DB07472;DB07473;DB07781;DB07797;DB07820;DB07826;DB07864;DB07867;DB07868;DB07869;DB07871;DB07884;DB07892;DB07910;DB08154;DB08188;DB08211;DB08286;DB08372;DB08379;DB08444;DB08446;DB08459;DB08460;DB08494;DB08502;DB08528;DB08598;DB08634;DB08665;DB08680;DB08681;DB08682;DB13119;DB02411;DB02668;DB03768;DB04454;DB04886;DB05228;DB05644;DB07679;DB07910;DB08622;DB02780;DB02904;DB03320;DB03817;DB04639;DB11854;DB06039;DB07327;DB07505;DB08041;DB08428;DB08662;DB07910;DB08115;DB08231;DB00109;DB00224;DB00503;DB00701;DB00932;DB01072;DB01232;DB01264;DB01319;DB01601;DB04887;DB00238;DB00300;DB00495;DB00625;DB00649;DB00705;DB00709;DB00879;DB00900;DB00943;DB01048;DB07935;DB08864;DB09299;DB11365;DB11799;DB12301;DB12855;DB14126;DB03141;DB04623;DB06817;DB08930;DB09101;DB11799;DB08231,human|vertebrates,1
61,265872,Cowpox virus STRAIN BRIGHTON RED,0,0,NA,NA,human|vertebrates,1
70,10299,Human herpesvirus 1 STRAIN 17,1,1,DB00194;DB00249;DB00577;DB00299;DB00426;DB00529;DB00577;DB00787;DB01004;DB13896;DB00299;DB00787;DB01004;DB01643;DB02324;DB02495;DB02500;DB02765;DB02921;DB03000;DB03280;DB03312;DB03804;DB04139;DB04485;DB03419,DB00194;DB00249;DB00577;DB00299;DB00426;DB00529;DB00577;DB00787;DB01004;DB13896;DB00299;DB00787;DB01004;DB01643;DB02324;DB02495;DB02500;DB02765;DB02921;DB03000;DB03280;DB03312;DB03804;DB04139;DB04485;DB03419,human|vertebrates,1
73,11708,Human immunodeficiency virus 1 (HIV1) ISOLATE ZAIRE 6,0,1,NA,DB01721;DB01732;DB01824;DB01887;DB01891;DB02009;DB02033;DB02629;DB02683;DB02704;DB02768;DB02785;DB02972;DB03076;DB03141;DB03803;DB03908;DB04042;DB04190;DB04255;DB04547;DB05398;DB05871;DB06414;DB06874;DB07018;DB07035;DB07327;DB07332;DB07337;DB07343;DB07451;DB07578;DB07806;DB07885;DB07961;DB08034;DB08212;DB08281;DB08282;DB08284;DB08372;DB08414;DB08428;DB08457;DB08598;DB08600;DB08639;DB01887;DB02804;DB04353;DB02086;DB02994;DB03118;DB03676;DB03963;DB07575;DB08027;DB08231;DB02102;DB02702;DB02729;DB04609;DB05328;DB06414;DB06581;DB06910;DB07184;DB07332;DB07472;DB07473;DB07781;DB07797;DB07820;DB07826;DB07864;DB07867;DB07868;DB07869;DB07871;DB07884;DB07892;DB07910;DB08154;DB08188;DB08211;DB08286;DB08372;DB08379;DB08444;DB08446;DB08459;DB08460;DB08494;DB08502;DB08528;DB08598;DB08634;DB08665;DB08680;DB08681;DB08682;DB13119;DB02411;DB02668;DB03768;DB04454;DB04886;DB05228;DB05644;DB07679;DB07910;DB08622;DB02780;DB02904;DB03320;DB03817;DB04639;DB11854;DB06039;DB07327;DB07505;DB08041;DB08428;DB08662;DB07910;DB08115;DB08231;DB00109;DB00224;DB00503;DB00701;DB00932;DB01072;DB01232;DB01264;DB01319;DB01601;DB04887;DB00238;DB00300;DB00495;DB00625;DB00649;DB00705;DB00709;DB00879;DB00900;DB00943;DB01048;DB07935;DB08864;DB09299;DB11365;DB11799;DB12301;DB12855;DB14126;DB03141;DB04623;DB06817;DB08930;DB09101;DB11799;DB08231,human|vertebrates,1
76,37137,Simian rotavirus A STRAIN SA11-both,0,0,NA,NA,human|vertebrates,1
78,10306,Human herpesvirus 1 STRAIN KOS,0,1,NA,DB00194;DB00249;DB00577;DB00299;DB00426;DB00529;DB00577;DB00787;DB01004;DB13896;DB00299;DB00787;DB01004;DB01643;DB02324;DB02495;DB02500;DB02765;DB02921;DB03000;DB03280;DB03312;DB03804;DB04139;DB04485;DB03419;DB13421,human|vertebrates,1
80,10315,Human herpesvirus 2 STRAIN HG52,0,1,NA,DB09299;DB14126,human|vertebrates,1
85,11908,Human T-lymphotropic virus 1,0,0,NA,NA,human|vertebrates,1
91,694009,Human SARS coronavirus (sars-cov),1,1,DB07293;DB07620;DB07743;DB08656;DB08732;DB08748;DB14761;DB07620;DB07743;DB08732;DB08748,DB07293;DB07620;DB07743;DB08656;DB08732;DB08748;DB14761;DB07620;DB07743;DB08732;DB08748,human|vertebrates,1
